Cereales y derivados,Arroz cocido,120,138,2.88,0.12,30.24,0.12,13.2,0.36,0,0
Cereales y derivados,Arroz integral cocido,120,130,2.36,0.8,30.28,1.64,16,0,0,0
Cereales y derivados,Cebada perlada o resbalada cocida,120,93.6,1.2,0.12,21.24,0.12,10.8,1.08,0,0
Cereales y derivados,Fideos tallarín (sancochado),120,120,3.72,0,25.56,0.48,30,0.48,0,0
Cereales y derivados,Pan francés,35,101.85,2.94,0.07,22.33,0.21,12.25,0.35,0,0.35
Cereales y derivados,Pan de molde (1 tajada),20,66.4,1.36,0.5,13.84,0,2.6,0.08,0,0
Cereales y derivados,Pan integral,20,39.6,1.4,0.18,8.28,1.5,12.6,0.4,0,0
Cereales y derivados,Quinua Cocida,120,121.2,3.36,1.56,19.56,0.84,32.4,1.92,0,0
Cereales y derivados,Cancha tostada,50,181.5,3.35,1.35,39.9,2.15,5.5,1.35,1,4.9
Cereales y derivados,"Pop corn (con aceite y sal)",50,254,4.9,13.35,28.6,0.3,0,0.25,6.05,0
"Verduras, hortalizas y derivados",Lechuga redonda,150,18,1.95,0.3,3.15,1.2,70.5,1.5,94.5,11.1
"Verduras, hortalizas y derivados","Pacchoy (hojas)",200,56,2.6,0.6,12.6,1.8,470,6,356,100
"Verduras, hortalizas y derivados",Pepinillo o Pepino de mesa,200,22,1,0.2,5.2,0.8,40,0.6,2,25.2
"Verduras, hortalizas y derivados",Rabanitos,200,28,1.6,0.2,5.8,1.4,72,2,0,37.2
"Verduras, hortalizas y derivados",Tomate,200,38,1.6,0.4,8.6,1.6,14,1.2,74,36.8
"Verduras, hortalizas y derivados",Tomate italiano,200,32,1.6,0.4,7.2,2,14,0.6,92,65
"Verduras, hortalizas y derivados",Vainitas,200,74,4.8,0.6,16.2,4.6,176,2.8,56,19.2
"Verduras, hortalizas y derivados",Zanahoria,100,41,0.6,0.5,9.2,1.2,33,0.5,1696,17.4
"Verduras, hortalizas y derivados","Limón (jugo)",10,3,0.05,0.02,0.97,0,1.8,0.05,0,4.42
"Verduras, hortalizas y derivados",Pimiento,20,7,0.3,0.1,1.54,0.24,2.4,0.1,25,21.66
"Verduras, hortalizas y derivados",Arvejas frescas,20,21.2,1.42,0.12,3.76,0.68,5.4,0.34,5.8,4.46
"Verduras, hortalizas y derivados",Remolacha raíz,50,22,0.85,0.05,4.75,0.5,7,0.4,0,2.5
"Verduras, hortalizas y derivados",Palta,30,39.3,0.51,3.75,1.68,1.74,9,0.18,2.1,2.04
"Verduras, hortalizas y derivados",Habas,120,90.6,6.8,0.5,15.5,0.5,18.6,1.2,6,17.1
"Verduras, hortalizas y derivados",Zapallo macre,200,52,1.4,0.4,12.8,2,52,1.2,308,11.4
Frutas y derivados,Chirimoya,120,104.4,1.44,0.24,27.12,1.8,24,0.84,0,3.96
Frutas y derivados,Fresas ,200,82,1.4,1.6,17.8,2.8,74,2.4,14,84
Frutas y derivados,Granadilla,150,120,3.3,3,23.4,5.25,25.5,0.6,0,23.7
Frutas y derivados,Higos negros,200,152,1.8,0.2,39.8,3.4,116,1.6,10,5.8
Frutas y derivados,Higos secos,100,182,3.6,0.2,46.6,8.6,109,2.4,0,3.7
Frutas y derivados,Mandarina,250,87.5,1.5,0.75,21.5,1.25,47.5,0.75,12.5,121.75
Frutas y derivados,Mango,150,90,0.6,0.3,23.85,1.5,25.5,0.6,238.5,37.2
Frutas y derivados,Melón,250,57.5,1.25,0.25,14.5,0.5,32.5,1.25,197.5,57.5
Frutas y derivados,Naranja agria (jugo),150,49.5,0.75,0.3,12.3,0,46.5,0.3,0,63
Frutas y derivados,Plátano de isla,120,109.2,1.08,0.48,28.32,0.6,9.6,0.72,157.2,5.04
Frutas y derivados,Plátano de seda,120,99.6,1.8,0.36,25.2,0.48,6,0.72,25.2,5.16
Frutas y derivados,Piña,200,76,0.8,0.4,19.6,1,20,0.8,14,39.8
Frutas y derivados,Uva blanca,150,64.5,0.45,0.3,16.95,0.6,7.5,1.2,6,2.1
Frutas y derivados,Uva borgoña,150,123,1.35,0.45,31.95,0.9,27,1.65,19.5,7.05
Frutas y derivados,Uva italia,150,99,0.6,0.15,26.55,0.6,28.5,0.75,4.5,4.2
Frutas y derivados,Uva negra,150,100.5,0.3,0.15,27.15,0.45,9,3.3,0,3.3
Frutas y derivados,Papaya,200,64,0.8,0.2,16.4,1,46,0.6,126,95.4
Frutas y derivados,Sandía,200,48,1.4,0.2,11.8,0.4,12,0.6,46,6
Frutas y derivados,Manzana,200,108,0.6,0.2,29.2,1.6,10,2.8,0,2.6
Frutas y derivados,Pera de agua,200,106,0.8,1.2,26,3.2,14,0.2,0,13
Frutas y derivados,Pera nacional,200,110,0.8,0.4,29,3.8,4,0.6,0,5
Frutas y derivados,Blanquillos,200,128,1.2,0.2,34.2,1.2,8,0.6,0,30.6
Frutas y derivados,Toronja,200,72,1.2,0.8,17.6,0.6,68,4,0,101.2
"Grasas, aceites y oleaginosas",Aceite vegetal,5,44.2,0,5,0,0,0,0,0,0
"Grasas, aceites y oleaginosas",Aceite vegetal de olivo,5,44.2,0,5,0,0,0,0,0,0
"Grasas, aceites y oleaginosas",Almendras,20,116.2,4.38,10.12,4,2.08,43.2,0.744,0,0
"Grasas, aceites y oleaginosas",Mantequilla,5,36.45,0.1,4.1,0,0,0,0,0,0
"Grasas, aceites y oleaginosas",Margarina vegetal con sal,5,36,0.03,4.05,0.015,0,0,0,40.95,0
"Grasas, aceites y oleaginosas","Maní tostado sin película",20,118,5.42,10.2,3.38,0.5,9.6,0.44,0,0
"Grasas, aceites y oleaginosas",Aceitunas de botija,30,89.4,0.24,9.63,2.19,0.42,25.8,0.72,0,0
Pescados y mariscos,Cojinova,120,111.6,24.24,0.84,0,0,22.8,3.24,0,5.88
Pescados y mariscos,Corvina,120,148.8,23.4,5.4,0,0,68.4,1.32,56.4,1.8
Pescados y mariscos,Pejerrey,120,106.8,22.44,1.44,0,0,126,0.84,0,0
Pescados y mariscos,Trucha rosada,120,132,25.08,2.76,0,0,9.6,0.24,0,10.08
Pescados y mariscos,"Atún en aceite (enlatado)",80,230.4,19.36,16.4,0,0,5.6,0.96,15.2,0
Pescados y mariscos,Calamar grande o Pota,120,56.4,12.72,0.24,0,0,30,0.12,0,2.76
Pescados y mariscos,Camarones,120,93.6,21.36,0.24,0,0,140.4,0.12,0,6.24
Pescados y mariscos,Cangrejos,80,79.2,15.12,2.08,0,0,42.4,1.12,484.8,0
Pescados y mariscos,Concha de abanico,60,45.6,8.34,1.08,0,0,54.6,0.18,0,6.96
Pescados y mariscos,Lenguado fresco,120,104.4,22.92,0.6,0,0,58.8,0.84,16.8,0
Pescados y mariscos,Anchoveta,120,205.2,25.2,10.8,0,0,198,1.68,0,10.44
Pescados y mariscos,Toyo,120,99.6,22.44,0.48,0,0,25.2,0.84,0,35.16
Pescados y mariscos,Pulpo,60,42.6,8.16,0.84,0,0,31.8,1.8,0,1.92
Carnes y derivados,"Carnero (pulpa muy magra)",100,136,19,6.1,0,0,7,2.2,0,0
Carnes y derivados,"Cerdo (carne sin hueso)",100,198,14.4,15.1,0,0,12,1.3,0,0
Carnes y derivados,"Gallina (pecho sin piel)",100,108,19.2,2.9,0,0,5,0.8,52,4.4
Carnes y derivados,"Pollo (pulpa)",100,119,21.4,3.1,0,0,12,1.5,16,2.3
Carnes y derivados,"Res (pulpa de carne)",100,105,21.3,1.6,0,0,16,3.4,0,0
Carnes y derivados,Jamón del País,30,103.2,7.41,7.92,0,0,14.4,0.63,0,0
Carnes y derivados,Chorizo,50,143.5,10.5,10.95,0,0,28,2,0,0
Carnes y derivados,Chicharrón de cerdo ,50,325,5.65,30.7,0,0,20,0,7,0
Carnes y derivados,"Salchicha ""hot dog"" de ternera",50,183,5.5,17.15,0,0,38,0.65,0,0
Carnes y derivados,Tocino,30,147,4.05,14.37,0,0,7.8,0.36,0,0.57
Leches y derivados,"Crema de leche espesa",20,69,0.41,7.4,0.56,0,13,0.02,82.2,0.12
Leches y derivados,leche condensada endulzada,15,48.3,1.185,1.38,8.055,0,41.4,0.015,11.1,0
Leches y derivados,Leche en polvo descremada,30,108.6,10.86,0.24,15.6,0,377.1,0.36,1.8,2.04
Leches y derivados,Leche en polvo entera,30,145.2,8.1,7.83,10.83,0,254.4,0.06,77.1,2.7
Leches y derivados,Leche evaporada descremada,100,79,7.1,0.9,10.5,0,0,0,0,13
Leches y derivados,Leche evaporada entera,100,133,6.3,7.7,10.9,0,231,0,65,0
Leches y derivados,Leche fresca con menos de 1% de grasa,250,107.5,8.75,1,11.75,0,325,0.125,0,13
Leches y derivados,Leche fresca de vaca,250,157.5,7.75,8.75,12.25,0,265,3.25,70,1.25
Leches y derivados,Yogurt de leche entera,150,91.5,5.25,4.95,7.05,0,181.5,0.075,0,0.795
Leches y derivados,Yogurt frutado de leche descremada,150,142.5,6.6,0.3,28.5,0,228,0.105,0,1.05
Leches y derivados,Queso fresco ,30,69,4.74,5.25,0.66,0,202.2,0.57,23.4,0
Leches y derivados,Queso fundido graso,30,71.4,4.5,5.64,0.69,0,119.4,0.165,0,0
Leches y derivados,Queso mantecoso,30,118.8,8.4,9,0.99,0,322.8,0.45,0,0
Leches y derivados,Queso parmesano,20,88,7.82,6.06,0.36,0,252,0.12,0,0
Leches y derivados,Queso fresco de cabra,30,51.9,4.89,3.09,1.02,0,93,0.24,24,0
Bebidas (alcohólicas y analcohólicas),Cerveza,240,86.4,0.72,0,12.24,0,0,0.24,0,0
Bebidas (alcohólicas y analcohólicas),Chicha de jora,240,67.2,0.96,0.72,13.92,"0.48",52.8,4.32,0,5.76
Bebidas (alcohólicas y analcohólicas),Chicha de maíz morado con azúcar,240,48,0,0,11.76,0,57.6,3.12,0,4.56
Bebidas (alcohólicas y analcohólicas),Coca cola,200,78,0,0,21,"0,2",0,0,0,0
Bebidas (alcohólicas y analcohólicas),Inka cola,200,82,0,0,22,0,0,0,0,0
Bebidas (alcohólicas y analcohólicas),"Vino blanco (grado alcohólico: 12.0%)",100,114,0,0,104,0,0,0,0,0
Bebidas (alcohólicas y analcohólicas),Vodka,100,231,0,0,0,0,0,0,0,0
Bebidas (alcohólicas y analcohólicas),Pisco,100,243,0,0,0,0,0,0,0,0
Bebidas (alcohólicas y analcohólicas),Ron,100,231,0,0,0,0,0,0,0,0
Bebidas (alcohólicas y analcohólicas),Wisky,100,246,0,0,0,0,0,0,0,0
Bebidas (alcohólicas y analcohólicas),"Vino tinto (grado alcohólico: 12.0%)",100,94,0,0,104,0,0,0,0,0
Huevos y derivados,Huevo cocido,50,69.5,6.45,4.2,0.95,0,15,0.55,0,1.25
Huevos y derivados,Huevo frito,55,113.7,6.45,9.2,0.95,0,15,0.55,0,1.25
Productos azucarados,Azúcar granulada o refinada,15,57.6,0,0,14.88,0,0.15,0.015,0,0
Productos azucarados,Azúcar rubia,15,57,0,0,14.58,0,6.75,0.255,0,0
Productos azucarados,Chancaca,20,64.8,0,0,16.78,0,9.2,0.64,0,0
Productos azucarados,Miel de abeja,10,33,0,0,8.56,0.01,2.6,0.04,0,0
Productos azucarados,Mermelada de frutilla,10,22.9,0,0,5.94,0.08,4,0.12,0,0
Leguminosas y derivados,Frijol canario cocido ,80,68,4.16,0.4,12.4,0.56,36,1.28,0,0
Leguminosas y derivados,Garbanzo cocido,80,79.2,2,1.44,14.8,0.48,43.2,0.96,0,0
Leguminosas y derivados,Arvejas secas cocidas,80,140.4,8.68,1.28,24.44,1.8,26,1.04,4,1.4
Leguminosas y derivados,Lentejas chicas cocidas,80,77.6,5.12,0.08,14.64,0.88,34.4,1.36,0,0
Leguminosas y derivados,Pallares cocidos con cáscara,80,82.4,4.72,0.32,15.6,3.28,22.4,0.88,0,0.08
"Tubérculos, raíces y derivados",Camote amarillo,150,174,1.8,0.3,41.4,1.5,61.5,1.2,58.5,15
"Tubérculos, raíces y derivados",Camote morado,150,165,2.1,0.45,38.55,1.35,54,2.1,16.5,20.4
"Tubérculos, raíces y derivados",Olluco,200,124,2.2,0.2,28.6,1.6,6,2.2,10,23
"Tubérculos, raíces y derivados",Papa amarilla,150,154.5,3,0.6,34.95,1.05,9,0.6,0,13.5
"Tubérculos, raíces y derivados",Papa blanca,150,145.5,3.15,0.15,33.45,0.9,13.5,0.75,4.5,21
"Tubérculos, raíces y derivados",Yuca amarilla,150,241.5,0.9,0.3,58.65,1.35,52.5,0.6,22.5,54.45
"Tubérculos, raíces y derivados",Yuca blanca,150,243,1.2,0.3,58.95,1.65,37.5,0.75,1.5,46.05